IATA,City,Latitude,Longitude
AEX,Alexandria,31.3274,-92.549833
AEY,Akureyri,65.659994,-18.072703
AFA,San Rafael,-34.588314,-68.403854
AFE,Kake,56.961389,-133.910278
AFL,Alta Floresta,-9.866092,-56.106206
AFS,Zarafshan,41.6139,64.2332
AFT,Afutara,-9.183056,160.949722
AFW,Fort Worth,32.987778,-97.318889
AFY,Afyon,38.726425,30.601114
AFZ,Sabzevar,36.168083,57.595183
AGA,Agadir,30.381353,-9.546311
AGB,Augsburg,48.425158,10.931764
AGC,Pittsburgh,40.3544,-79.9302
AGE,Wangerooge,53.7828,7.91389
AGF,Agen,44.174721,0.590556
AGH,Ã„ngelholm,56.2961,12.8471
AGI,Wageningen,5.76667,-56.63333
AGJ,Aguni,26.592778,127.240278
AGL,Wanigela,-9.333,149.15
AGM,Angmagssalik,65.612222,-37.618333
AGN,Angoon,57.503611,-134.585
AGP,Malaga,36.6749,-4.499106
AGQ,Agrinion,38.602022,21.351208
AGR,Agra,27.155831,77.960892
AGS,Bush Field,33.369944,-81.9645
AGT,Ciudad del Este,-25.4555,-54.843592
AGU,Aguascalientes,21.705558,-102.317858
AGV,Acarigua,9.553422,-69.237536
AGX,Agatti Island,10.823656,72.176042
AGZ,Aggeneys,-29.281767,18.813869
AHB,Abha,18.240367,42.656625
AHE,Ahe,-14.4281,-146.257
AHN,Athens,33.9486,-83.3263
AHO,Alghero,40.632133,8.290772
AHS,Ahuas,15.4722,-84.3522
AHU,Al Hociema,35.177103,-3.839525
AIA,Alliance,42.053333,-102.803889
AIC,Airok,7.1,171.233333
AIE,Aiome,-5.8,144.44
AIK,Aiken,33.6493889,-81.6850278
AIM,Ailuk Island,10.2168,169.983
AIN,Wainwright,70.638056,-159.994722
AIS,Arorae,-2.633333,179.816667
AIT,Aitutaki,-18.830922,-159.764233
AIU,Atiu Island,-19.9678,-158.119
AIZ,Kaiser Lake Ozark,38.096035,-92.5494875
AJA,Ajaccio,41.923637,8.802917
AJF,Al-Jawf,29.785133,40.100006
AJI,Agri,39.6546,43.0271
AJL,Aizwal,23.746603,92.802767
AJN,Anjouan,-12.131667,44.430279
AJR,Arvidsjaur,65.590278,19.281944
AJU,Aracaju,-10.984,-37.070333
AJY,Agadez,16.965997,8.000114
AKA,Ankang,32.7081,108.931
AKB,Atka,52.220278,-174.206389
AKC,Akron,41.0375,-81.466917
AKD,Akola,20.699006,77.058628
AKF,Kufra,24.178728,23.313958
AKI,Akiak,60.902778,-161.230556
AKJ,Asahikawa,43.670833,142.4475
AKK,Akhiok,56.938611,-154.1825
AKL,Auckland,-37.008056,174.791667
AKN,King Salmon,58.676778,-156.649278
AKP,Anaktuvuk Pass,68.1336,-151.743
AKR,Akure,7.246739,5.301008
AKS,Auki,-8.70257,160.682
AKT,Akrotiri,34.590416,32.987861
AKU,Aksu,41.2625,80.2917
AKV,Akulivik,60.8186,-78.1486
AKX,Aktyubinsk,50.245833,57.206667
AKY,Sittwe,20.132708,92.872628
ALA,Alma-ata,43.352072,77.040508
ALB,Albany,42.748267,-73.801692
ALC,Alicante,38.282169,-0.558156
ALF,Alta,69.976111,23.371667
ALG,Algier,36.691014,3.215408
ALH,Albany,-34.9433,117.809
ALI,Alice,27.740889,-98.026944
ALJ,Alexander Bay,-28.575001,16.533333
ALL,Albenga,44.050608,8.127428
ALM,Alamogordo,32.8399,-105.991
ALO,Waterloo,42.5571,-92.4003
ALP,Aleppo,36.180675,37.224358
ALR,Alexandra,-45.211666,169.373333
ALS,Alamosa,37.435,-105.866667
ALU,Alula,11.95,50.733
ALW,Walla Walla,46.0949,-118.288
ALX,Alexandria,38.806346,-77.0621
ALY,Alexandria,31.183903,29.948889
ALZ,Lazy Bay,56.899444,-154.247778
AMA,Amarillo,35.219369,-101.705931
AMB,Ambilobe,-13.188431,48.987978
AMC,Am Timan,11.034,20.274
AMD,Ahmedabad,23.077242,72.63465
AMH,Arba Minch,6.039389,37.590453
AMI,Mataram,-8.560708,116.094656
AMM,Amman,31.722556,35.993214
AMQ,Ambon,-3.710264,128.089136
AMS,Amsterdam,52.308613,4.763889
AMV,Amderma,69.7633,61.5564
AMY,Ambatomainty,-17.1667,47.1833
AMZ,Ardmore,-37.029722,174.973333
ANB,Anniston,33.588167,-85.858111
ANC,Anchorage,61.174361,-149.996361
AND,Andersen,34.494583,-82.709389
ANE,Angers/MarcÃ©,47.5603,-0.312222
ANF,Antofagasta,-23.444478,-70.4451
ANG,Angouleme,45.729247,0.221456
ANI,Aniak,61.5816,-159.543
ANK,Ankara,39.949831,32.688622
ANM,Antalaha,-14.999411,50.320233
ANN,Annette Island,55.042436,-131.572233
ANP,Annapolis,38.942778,-76.568333
ANQ,Angola,41.6396983,-85.0834933
ANR,Antwerp,51.189444,4.460278
ANS,Andahuaylas,-13.706408,-73.350378
ANU,Antigua,17.136749,-61.792667
ANV,Anvik,62.6467,-160.191
ANX,Andoya,69.2925,16.144167
AOC,Altenburg,50.981817,12.506361
AOE,Eskissehir,39.809858,30.519378
AOH,Lima,40.707478,-84.0270781
AOI,Ancona,43.616389,13.362222
AOJ,Aomori,40.734722,140.690833
AOK,Karpathos,35.421408,27.146008
AOL,Paso De Los Libres,-29.689425,-57.152078
AOO,Altoona,40.296372,-78.320022
AOR,Alor Setar,6.189667,100.398183
AOS,Amook Bay,57.471389,-153.815278
AOT,Aosta,45.738456,7.368719
APA,Denver,39.570129,-104.849294
APC,Napa,38.2131944,-122.2806944
APF,Naples,26.152619,-81.775294
APG,Aberdeen,39.466219,-76.168808
APK,Apataki,-15.5736,-146.415
APL,Nampula,-15.105611,39.2818
APN,Alpena,45.0781,-83.5603
APO,ApartadÃ_,7.033,-77.2
APW,Faleolo,-13.829969,-172.008336
APZ,ZAPALA,-38.9755,-70.113581
AQA,Araracuara,-21.812,-48.133028
AQB,Santa Cruz des Quiche,15.0122004,-91.1505966
